NUM_POSTE;AN;MOIS;JOUR;AMP;TX;TN;TM;TMC;UX;UN;UM;TVM;RR;HOM;HOX;HON;RR;RG;RGC;PAR;ETPP;ETPPC;ETP;EP;BAC;VX;V;GVX
63113001;1923;4;19;12.0;16.0;4.0;NA;10.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;4;20;17.0;17.2;0.2;NA;8.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;4;21;5.7;13.1;7.4;NA;10.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;4;22;9.3;16.3;7.0;NA;11.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;4;23;6.4;13.6;7.2;NA;10.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;4;24;8.0;13.3;5.3;NA;9.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;4;25;13.1;16.5;3.4;NA;9.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;4;26;19.0;20.1;1.1;NA;10.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;4;27;7.0;11.1;4.1;NA;7.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;4;28;13.2;14.5;1.3;NA;7.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;4;29;8.4;15.3;6.9;NA;11.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;4;30;11.4;18.2;6.8;NA;12.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;5;1;21.1;25.2;4.1;NA;14.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;5;2;18.9;28.3;9.4;NA;18.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;5;3;18.1;26.6;8.5;NA;17.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;5;4;16.4;26.9;10.5;NA;18.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;5;5;23.8;31.9;8.1;NA;20.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;5;6;16.5;31.1;14.6;NA;22.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;5;7;15.8;30.9;15.1;NA;23.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;5;8;18.2;29.7;11.5;NA;20.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;5;9;6.1;15.6;9.5;NA;12.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;5;10;8.6;13.1;4.5;NA;8.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;5;11;5.4;14.9;9.5;NA;12.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;5;12;9.2;13.5;4.3;NA;8.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;5;13;13.4;16.6;3.2;NA;9.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;5;14;11.8;13.8;2.0;NA;7.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;5;15;19.2;18.3;-0.9;NA;8.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;5;16;8.6;16.0;7.4;NA;11.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;5;17;11.4;16.7;5.3;NA;11.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;5;18;6.3;11.0;4.7;NA;7.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;5;19;11.2;14.6;3.4;NA;9.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;5;20;13.1;20.1;7.0;NA;13.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;5;21;15.1;21.7;6.6;NA;14.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;5;22;11.7;18.7;7.0;NA;12.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;5;23;17.9;23.8;5.9;NA;14.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;5;24;5.8;15.7;9.9;NA;12.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;5;25;6.2;15.5;9.3;NA;12.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;5;26;8.0;15.0;7.0;NA;11.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;5;27;10.8;12.7;1.9;NA;7.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63113001;1923;5;28;12.8;16.6;3.8;NA;10.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
